referencia;fabricante ;precio ;nominal_power
Cero;0;0;0
SUN2000-20KTL-M3 Smart String Inverter 20kW;Huaweii;11875000;20.000
SUN2000-2KTL-L1 Smart Energy Center 2kW;Huaweii;2875000;2.000
SUN2000-3KTL-L1 Smart Energy Center 3kW;Huaweii;3250000;3.000
SUN2000-4KTL-L1 Smart Energy Center 4kW;Huaweii;4000000;4.000
SUN2000-5KTL-L1 Smart Energy Center 5kW;Huaweii;4125000;5.000
SUN2000-6KTL-L1 Smart Energy Center 6kW;Huaweii;4625000;6.000
SUN2000-100KTL-M1 Smart String Inverter 100kW;Huaweii;24375000;100.000
SUN2000-36KTL-M3 Smart String Inverter 36kW;Huaweii;12750000;36.000
SUN2000-60KTL-M0 Smart String Inverter 60kW;Huaweii;17125000;60.000
Fronius Symo 10.0-3 208-240V advanced;Fronius;11000000;9.995
Fronius Primo 3,8-1 208 /240;Fronius;5287500;3.800
Fronius Primo 3,8-1 208 /240 lite ;Fronius;4912500;3.800
Fronius Primo 5.0-1 208 /240;Fronius;5425000;5.000
Fronius Primo 5.0-1 208 /240 lite;Fronius;5050000;5.000
Fronius Primo 6.0-1 208 /240;Fronius;6000000;6.000
Fronius Primo 6.0-1 208 /240 lite;Fronius;5625000;6.000
Fronius Primo 7.6-1 208 /240;Fronius;7312500;7.600
Fronius Primo 7.6-1 208 /240 lite;Fronius;6937500;7.600
Fronius Primo 8.2-1 208 /240;Fronius;7750000;8.200
Fronius Primo 8.2-1 208 /240 lite;Fronius;7375000;8.200
Fronius Primo 10.0-1 208 /240;Fronius;9675000;10.000
Fronius Primo 10.0-1 208 /240 lite;Fronius;9300000;10.000
Fronius Primo 15.0-1 208 /240;Fronius;12925000;15.000
Fronius Primo 15.0-1 208 /240 lite;Fronius;12550000;15.000
Fronius Symo 10.0-3 208-240V advanced lite ;Fronius;10625000;9.995
Fronius Symo 12.0-3  208-240V advanced ;Fronius;12312500;12.000
Fronius Symo 12.0-3  208-240V advanced lite;Fronius;11937500;12.000
